name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S8-elecmin,Na2S8,,S–S–Na,74.47,Vacuum,False,False,30,67.71,21.67,21.31,3.96,1.14
Na2S8-elecmin,Na2S8,,S–Na–S,79.69,Vacuum,False,False,30,71.69,34.31,33.73,6.26,0.43
Na2S8-elecmin,Na2S8,,S–S–S,87.50,Vacuum,False,False,17,107.94,41.43,40.19,10.05,-0.36
Na2S8-elecmin,Na2S8,,S–Na–Na,66.41,Vacuum,False,False,12,57.89,18.43,17.64,5.32,0.99
Na2S8-elecmin,Na2S8,,Na–S–Na,70.63,Vacuum,False,False,4,69.16,7.73,6.70,3.87,0.97
Na2S8-glyme,Na2S8,,S–Na–S,74.25,Glyme,True,False,30,84.08,31.60,31.07,5.77,-0.33
Na2S8-glyme,Na2S8,,S–S–S,89.63,Glyme,True,False,13,109.92,37.60,36.13,10.43,-0.80
Na2S8-glyme,Na2S8,,S–Na–Na,59.57,Glyme,True,False,12,58.42,11.61,11.12,3.35,0.52
Na2S8-glyme,Na2S8,,S–S–Na,76.78,Glyme,True,False,26,75.94,23.19,22.74,4.55,0.11
Na2S8-glyme,Na2S8,,Na–S–Na,68.25,Glyme,True,False,5,60.28,15.11,13.51,6.76,0.47
Na2S8-glyme-elecmin,Na2S8,,S–Na–S,73.07,Glyme,False,False,31,83.47,31.44,30.93,5.65,-0.18
Na2S8-glyme-elecmin,Na2S8,,S–S–S,89.24,Glyme,False,False,13,107.93,37.40,35.93,10.37,-0.85
Na2S8-glyme-elecmin,Na2S8,,S–S–Na,74.89,Glyme,False,False,27,75.64,24.38,23.93,4.69,0.31
Na2S8-glyme-elecmin,Na2S8,,Na–S–Na,67.11,Glyme,False,False,5,58.28,13.64,12.20,6.10,0.61
Na2S8-glyme-elecmin,Na2S8,,S–Na–Na,59.70,Glyme,False,False,12,53.20,13.70,13.11,3.95,0.59
Na2S8-glyme-vdw,Na2S8,,S–Na–Na,57.52,Glyme,True,True,12,56.78,14.69,14.07,4.24,0.16
Na2S8-glyme-vdw,Na2S8,,S–Na–S,66.23,Glyme,True,True,30,59.33,28.48,28.00,5.20,0.46
Na2S8-glyme-vdw,Na2S8,,S–S–S,89.06,Glyme,True,True,13,106.02,38.61,37.09,10.71,-0.64
Na2S8-glyme-vdw,Na2S8,,Na–S–Na,82.34,Glyme,True,True,4,77.90,15.19,13.15,7.59,1.55
Na2S8-glyme-vdw,Na2S8,,S–S–Na,79.09,Glyme,True,True,27,75.03,23.77,23.32,4.57,0.81
